GeneID,G1R2,G1R3,G1R4,G3R1,G3R2,G1R1,G3R4,logFC,logCPM,PValue,FDR
FBgn0029848,0.132357467,0.042128749,0.100136332,0.66075512,1.028060255,0.081617791,0.829620922,2.826882105,-1.128969393,8.84E-05,0.002695607
FBgn0029896,88.93684225,110.4742518,82.15965341,172.7266707,284.4220816,139.4718201,367.5722279,1.300806019,7.510654341,0.000101831,0.003036977
FBgn0029950,3.143489843,3.24391366,8.010893242,1.726833582,0.844478066,2.162871471,0.973902821,-1.777448066,1.461974028,0.000551094,0.012632357
FBgn0030105,6.587603531,8.444442291,20.12739614,54.35029491,71.83449865,11.58973862,30.01751372,2.081314712,4.938498939,1.98E-07,1.22E-05
FBgn0030237,97.68113427,120.481481,81.55570215,64.92432972,53.80059611,124.7397353,55.96370244,-0.868290953,6.36089924,0.002355265,0.041397741
FBgn0030262,1.527259577,1.937922446,1.405146395,4.955647246,8.705761103,4.488959753,8.837280767,1.716635805,2.345172222,0.000283517,0.00724091
FBgn0030270,0.661787335,0.631929126,0.870629668,13.69230341,14.51042796,0.652942331,1.406760783,4.528533234,3.105574829,1.71E-10,1.74E-08
FBgn0030271,1.834289193,6.552659251,9.602079592,225.0639127,157.3455766,3.155107123,60.7140397,5.34446218,6.783996933,2.33E-17,6.21E-15
FBgn0030304,30.60260159,30.33708054,52.76396979,18.17381261,16.67161255,29.99359972,11.1818472,-1.200062291,4.692580682,0.000219369,0.005850416
FBgn0030309,36.70679561,41.40366672,61.90685554,90.24229643,104.2597724,45.09243815,78.71470862,1.196489638,6.252654523,0.000152437,0.004270696
FBgn0030310,11.25398813,12.83981891,10.6591788,14.35627788,27.30673801,13.43629218,26.22713444,0.979769697,4.167932356,0.002306449,0.040694441
FBgn0030317,18.28452229,21.00505713,14.23668279,3.971174978,4.565395293,16.86464342,12.64039293,-1.34364135,3.624918486,0.000728677,0.01602108
FBgn0030362,277.7967822,342.451118,210.0170649,573.716601,713.9425388,415.2408383,548.5374539,1.086162533,8.925682581,0.000749248,0.016371725
FBgn0030367,21.93825017,16.55937879,21.7113927,12.48093004,8.010682221,18.62167043,5.771275976,-1.050714262,3.876588645,0.001952519,0.035816849
FBgn0030432,29.45198503,27.71262801,29.8696666,14.58958317,12.12571369,24.43204099,14.03487748,-1.101223359,4.357746058,0.000178984,0.004886117
FBgn0030443,0.562519235,0.674059981,0.40054533,4.294908279,7.055544483,0.652940699,6.420530096,3.32915462,1.697023227,4.09E-13,6.17E-11
FBgn0030459,0.963592141,1.495431558,4.761048683,54.84671289,53.40295709,0.45058326,18.29159029,4.053738524,4.08971482,2.26E-06,0.00010708
FBgn0030493,0.79424407,2.064308692,0.834469437,29.97875345,151.9135265,1.755961892,258.0770335,6.36628362,5.832461664,3.41E-14,6.14E-12
FBgn0030494,20.4683874,15.53476549,9.883923313,16.81805323,58.25760448,21.58619184,61.99504654,1.513502456,5.026274426,0.000195031,0.005282591
FBgn0030495,2.018630055,1.941857271,2.336514423,21.99611102,557.2139452,2.20369261,1175.724234,7.695550855,7.793846628,1.31E-11,1.67E-09
FBgn0030541,5.001854859,15.92466706,23.30793301,6.203756402,3.377912265,2.897435675,1.587100894,-1.830747089,2.930645613,0.002729088,0.046267717
FBgn0030542,0.661787335,0.800446228,0.300408997,36.03795132,129.8091296,0.693751227,182.4296729,7.221047946,5.534143533,3.05E-24,1.46E-21
FBgn0030558,0.305886379,0.210643744,0.303119688,3.256149838,1.395224631,0.510111196,1.406748519,4.334428146,1.856463769,5.22E-07,2.91E-05
FBgn0030569,117.152903,107.3052936,8.68212043,788.0312393,827.2433705,142.3197994,640.1030397,2.60717378,8.379284573,0.000687516,0.015279608
FBgn0030590,16.05728694,17.70069293,6.175073833,103.5705935,87.79730038,14.24796071,37.47889344,2.131179049,5.190617476,0.000159854,0.004442584
