"","x"
"654","FBgn0261994"
"655","FBgn0262005"
"656","FBgn0262018"
"657","FBgn0262035"
"658","FBgn0262160"
"659","FBgn0262509"
"660","FBgn0262563"
"661","FBgn0262599"
"662","FBgn0262685"
"663","FBgn0262855"
"664","FBgn0262874"
"665","FBgn0262880"
"666","FBgn0263133"
"667","FBgn0263199"
"668","FBgn0263400"
"669","FBgn0263762"
"670","FBgn0263830"
"671","FBgn0263911"
"672","FBgn0264296"
"673","FBgn0264301"
"674","FBgn0264493"
"675","FBgn0264748"
"676","FBgn0264750"
"677","FBgn0264899"
"678","FBgn0264908"
"679","FBgn0264953"
"680","FBgn0265083"
"681","FBgn0265595"
"682","FBgn0265835"
"683","FBgn0266064"
"684","FBgn0266268"
"685","FBgn0266354"
"686","FBgn0266450"
"687","FBgn0266456"
"688","FBgn0266490"
"689","FBgn0266534"
"690","FBgn0266569"
"691","FBgn0267792"
