Name,SRR3390478.quant,SRR3390479.quant,SRR3390480.quant,SRR3390481.quant,SRR3390482.quant,SRR3390483.quant,SRR3390484.quant,SRR3390485.quant
FBtr0075307,193453.0,324962.0,221070.0,270262.0,428354.0,168520.0,209924.0,126692.0
FBtr0345805,7334.48,12008.0,11548.8,10725.6,18580.1,7799.27,11487.1,7697.74
FBtr0075308,1815.4,2070.23,1550.95,1782.47,2057.22,2510.39,1696.29,2747.27
FBtr0075310,365.945,483.087,336.146,503.161,436.687,302.284,282.003,354.369
FBtr0344805,37.3172,48.0652,20.7124,35.7898,33.3751,19.3443,30.7676,44.8028
FBtr0075312,1674.75,2818.13,1479.24,2593.89,2163.67,490.675,1152.87,2259.13
FBtr0331558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0345368,1968.71,2567.64,1556.64,2574.67,2098.88,425.128,1073.64,1994.71
FBtr0075313,1781.07,2701.49,1820.31,1477.82,1942.92,2361.16,1816.98,2199.24
FBtr0331559,811.301,618.626,784.124,1264.86,1013.87,666.106,712.988,251.681
FBtr0075314,253.01,283.019,213.175,256.404,264.014,282.428,194.0,322.032
FBtr0075316,1891.37,2999.4,1664.2,2814.89,2164.89,374.525,1091.7,2202.23
FBtr0075317,242.257,354.425,222.291,234.474,274.206,36.5901,107.886,260.357
FBtr0344229,152.743,232.739,128.709,250.153,160.794,19.4099,94.5726,166.647
FBtr0075318,1407.21,1545.92,1146.19,1360.92,1499.97,1288.76,1318.44,1119.81
FBtr0330189,0.000127964,2.75024e-05,0.0,0.0,2.49865e-05,0.0,9.05313e-07,0.0
FBtr0330190,0.000320957,0.000148378,5.44715e-08,0.0,0.000126048,5.56425e-08,5.36092e-06,0.0
FBtr0305084,773.595,1288.41,974.795,862.581,1060.06,1000.93,957.634,911.167
FBtr0305085,0.000320957,0.000148378,5.44715e-08,0.0,0.000126048,5.56425e-08,5.36092e-06,0.0
FBtr0305086,395.681,301.563,170.356,403.678,264.712,185.492,214.386,535.702
FBtr0333625,197.597,262.899,222.103,133.485,330.596,314.286,249.295,53.3824
FBtr0333626,184.156,147.714,154.644,140.977,138.988,138.226,176.26,51.3051
FBtr0075319,1.0215,20.9694,17.7372,46.7478,1.50265,7.78084,6.21283,11.3243
FBtr0075320,28.0021,7.0,6.0,6.0,35.0,2851.31,8.0,11605.5
