"","G3R3","G1R2","G1R3","G1R4","G3R1","G3R2","G1R1","G3R4"
"FBgn0043458",1758.531,2228.143,1657.549,1970.586,2091.283,1662.371,1666.034,1922.307
"FBgn0043470",9.05627,35.0504,30,131,43,15,12.0511,16
"FBgn0043471",7,176,100,174,33,42,102.169,46
"FBgn0043530",6,3,2,1,2,4,6,0
"FBgn0043532",77.00005,112.00241,64,109.99993,73,10,34.00005,84
"FBgn0043533",2,3,0,1,0,0,1,0
"FBgn0043534",1,0,2,3.44023,0,1.31291,0,1
"FBgn0043535",2,2,1,2.55977,4,1.68709,4,2
"FBgn0043536",10.9458,13.3537,14.0835,23.5011,20.3763,22.7189,8.64528,11.8206
"FBgn0043539",0,0,2,0,0,1,0,1
"FBgn0043550",79,139.0008,128.0577,88,122.3391,88.0003,113.2443,90.07647
"FBgn0043575",778.187,725.898,926.556,1035.99,435.47,551.216,518.15,460.986
"FBgn0043576",0,4.40619,0,0,0,0,1.55231,2.148
"FBgn0043577",28.0021,7,6,6,35,2851.31,8,11635.0732
"FBgn0043578",140,109,82,79,74,305.022,59,307
"FBgn0043783",1070.07,1557.01,886.912,1707.63,1171.86,504.399,743.016,1047.65
"FBgn0043791",7,18,9,9,6,3,8,26
"FBgn0043792",442.08608,10809.54717,7545.729,4010.037,886.62573,472.1292,5062.75711,1419.558768
"FBgn0043796",478.705,654.018,409.101,514.731,494.064,456.327,400.23,445.441
"FBgn0043799",72.007,110.000000455266,75.00002,72.169200299687,88,83.999962374,56.0008000190333,83
"FBgn0043806",857,958.221,728.612,863.2,1142.7,965.416,783.953,830.553
"FBgn0043825",1.63152,0,0,0,1.63107,2,0,3
"FBgn0043841",16582.816,9644.46286,12248.31328,10795.9758,12722.6006,18965.681,12172.424,14302.7676
"FBgn0043854",7,15,8,15,15,17,6,18
"FBgn0043865",58,100.002,42,66,66,12,38,71
"FBgn0043884",11446.18668,14697.54667,10774.3286743,12163.0483,13198.3190006407,11020.7450250945,11236.964,12094.6820096
"FBgn0043900",1509.19,1950.51,1408.02,1741.31,1615.33,1213.41,1430.83,1615.51
