"","G3R3","G1R2","G1R3","G1R4","G3R1","G3R2","G1R1","G3R4"
"FBgn0028380",1088.529,1473.43000112751,890.916,1533.231,1270.146,723.279,669.2949,1433.602
"FBgn0028381",62,57.0427,34.008,61,39,78.0187,42,90
"FBgn0028382",451.062,530.579,467.424,452.794,480.985,431.105,445.485,427.073
"FBgn0028387",791.07728,847.00876,584.58034,611.2635,779.297,620.3111,673.4111,636.6155
"FBgn0028394",921.7433,769.5111,946.6757,1175.3234,927.4676,2300.774,1149.499,1724.515
"FBgn0028396",699.781,185.121,225.539,148.398,1575.18,2320.12,677.242,2287.25
"FBgn0028397",1605.1598,2762.93,1622.5647,3247.9,2023.9274,671.06304,1241.419,2000.5822
"FBgn0028398",505.42,631.818,520.727,628.161,524.134,602.052,516.014,532.126
"FBgn0028399",4130.1083,4486.9904,3591.9703,4103.75325,4341.9966,4808.14962,3344.3482,4830.7236
"FBgn0028400",1753.23,2208.98,1543.37,1950.07,2060.27,1650.01,1601,1421
"FBgn0028402",628.2,851.6055,601.8177,726.3819,723.832,691.9883,646.8011,640.5857
"FBgn0028406",616.78,591.412,511.63,492.123,566.681,573.788,526.33,538.957
"FBgn0028407",138.8803,258.5233,153.8636,265.0842,208.1016,81.4966,124.0216,208.1958
"FBgn0028408",683.585,1198.46690001219,948.24059,1808.617,897.2087,670.79874448,900.93213467,588.9905
"FBgn0028410",141.224,213.136,152.091,200,154,65,75,225.343
"FBgn0028411",340.3393,315.0005,260.7729,261.8323,299.4954,302.7569,326.4097,239.5189
"FBgn0028412",2513.209,3823.378,2207.895,3986.864,2972.03,530.6532,1440.389,3279.519
"FBgn0028415",0,0,0,1,0,0,0,0
"FBgn0028416",0,0,0,0,0,0,0,0
"FBgn0028418",95.8514,138.286,68.7236,134.043,87.024,97.0214,68.2877,95.402
"FBgn0028421",1302.1259,1252.5971,1101.9809,1363.395,1261.5847,1445.1955,1278.6816,1273.7999
"FBgn0028422",61,112.03,77,279.107,52,76,106,98.0007
"FBgn0028424",158,241.282,171.025,237,165.084,145.106,187.009,146
"FBgn0028425",616.2285,727.4516,565.9198,974.983,879.3026,809.0114,647.983,932.9183
"FBgn0028426",241,315.181,249.132,240.067,311.012,288.471,211,273
"FBgn0028427",1209.8731,1486.8644,1261.2465,2073.01,1519.6618,1407.4376,1240.6844,1314.02
"FBgn0028429",1177.3284,1895.818,1258.1772,1541.838,1477.165,1062.2595,1259.719,1447.8798
"FBgn0028430",3,6,8,7,3,6,3,15
"FBgn0028434",123.581,141.834,130,120.568,120.356,100.707,116.181,87.643
"FBgn0028436",217.01,472.385,303.136,395.807,275.055,267.268,307.255,217.06
"FBgn0028467",1498.17,1980.41,1318.87,1656.54,1687.49,1348.01,1035.61,1997.08
"FBgn0028468",1284.86,1259.79,1142.88,869,1455.38,1986.66,1350.87,1630.3
"FBgn0028471",1236.06,1581.9,1199.86,1296.57,1447.13,1288.8,1257.65,1463.14
"FBgn0028473",6767.21,6616.039,5274.801,5868.778,6343.989,7654.9813,5948.421,6040.912
"FBgn0028474",1766.995,2288.387,1625.07,1619.645,1935.706,2020.497,1885.947,1727.83
"FBgn0028475",3043.542,4199.448,2742.8108,3782.06,3454.061,2210.919,2357.5582,3782.4614
"FBgn0028476",1858.294,2150.639,1646.359,2002.772,1861.327,1709.823,1742.17,1867.155
"FBgn0028479",5479.892,8146.178,6530.034,6407.733,6963.447,6893.6429,6374.777,5958.432
"FBgn0028480",1237.25,1619.87,1255.62,1825.9,1470.08,1769.09,1373.08,1420.18
"FBgn0028481",795.714,1109.55,819.786,911.8,978.786,806.467,887.78,777.022
"FBgn0028482",228,486.267,409.004,875.129,388,335.002,326,330
"FBgn0028484",2157.85,3160,2049.62,2753.55,2428.35,1465.74,1707.31,2506.07
"FBgn0028487",2274.1794,4302.26616468355,2371.48289,4600.352204533,3132.189375,754.8209,1716.7795,2959.8743
"FBgn0028490",6275.3046,3360.4042,3262.389,4461.967,3630.7142,5238.5649,3137.743,3345.7358
"FBgn0028491",4868.17233,2682.31211,2757.4123,3142.24084,4506.65834,6737.8341,2314.9474,2218.12157020452
"FBgn0028494",3786.603,4974.202,4050.14775,5188.651,4417.226,4825.164,4781.113,3573.125
"FBgn0028496",398.0003,934.3198,652.0762,1158.0047,612.38256,439.0002328307,621.0008,562.1061
"FBgn0028497",1217.9044,1468.6077,1093.5164,1320.7546,1307.2752,1134.37801,1194.6132,1244.35938
"FBgn0028499",598,819.315,615.007,646.34,630.782,463.108,613.062,484.395
"FBgn0028500",1570.52,2103.27,1480.73,1934.02,2130.74,1361.04,1290.47,1879.01
"FBgn0028504",448.0649,489.39003,297.185,533.75411,452.9067,274.9152,315.36392,401.5197
"FBgn0028506",2276.38,2129.99,1985.15,1847.64,2394.12,3005,2129.21,2595.22
"FBgn0028507",615.573,857.854,693.621,803.72,769.296,891.077,757.281,781.451
"FBgn0028509",1676.075,2211.337,1870.826,1737.335,2426.919,2737.036,1961.458,2713.948
"FBgn0028513",4874.09,7800.5,4648.51,9214.85,5313.86,951.918,2928.01,5032.03
"FBgn0028514",360.027,32.01,38,26,193.07,228,29,202
"FBgn0028515",1314.408,1398.647,1243.6827,1460.7618,1329.195,1516.0854,1318.462,1517.307
"FBgn0028516",1155.244,1694.417,1512.839,1493.236,1534.852,941.522,1122.414,1539.179
"FBgn0028517",1,1,0,1,1,0,0,0.5
"FBgn0028518",120.99951,87,88.0006,76.01555,151.99989,194.02138,85,232.9998
"FBgn0028519",9917.85,1868.29,1850.85,2033.28,5989.3,6319.95,1755.96,2902.12
"FBgn0028520",316.629,401.482,223.692,425.043,313.26,81,148,374.499
"FBgn0028523",2658.516,2603.43,2100.973,2595.675,2186.304,2094.732,2662.858,1898.82628
"FBgn0028525",32.0612,42.2157,26.1262,37.0832,23.1208,25.1331,19.1126,38.1857
"FBgn0028526",24,366.1956,273.2761,1215.1348,37.7409,47.0799,159.0076,59.0622
"FBgn0028527",2400.7374,2246.771,1798.1624,2166.548,2399.0471,3068.9804,1924.44,2685.3708
"FBgn0028530",293,391.286,303.323,329,331.006,336,303,314.124
"FBgn0028531",1793.8599,2825.99,1595.335,2977.96,1967.37,435.40135,1322.81096,2128.053
"FBgn0028532",2,0,1,7,1,4,1,2
"FBgn0028533",29,5,25,6,12,90,6,483.0002
"FBgn0028534",17,2,6,4,4,11,0,28
"FBgn0028537",441.516,237.28895,334.61802,246.1711,641.7484,2340.7461,1531.3263,1239.6113
"FBgn0028538",2661.92,3615.03,2311.71,3364.76,3266.19,2286.01,2190.03,3549.51
"FBgn0028539",5341.706,5884.415,4824.935,4691.349,5809.073,5607.342,4523.523,5946.439
"FBgn0028540",1045.2837,1866.551,1082.8777,1637.408,1191.9647,581.202,978.133,1264.865
"FBgn0028541",1993.242,2356.923,1832.551,2178.851,2353.733,2253.086,1771.939,2246.491
"FBgn0028542",203,449.795,399,452.858,307.336,252.544,330.627,251
"FBgn0028543",200.44,547.695,421.887,781.129,305.888,319.314,495.758,294.662
"FBgn0028544",1300.5,74147.3,25983.6,40783.4,1256.63,1125.25,32497.8,5316.54
"FBgn0028546",1462.258,1682.4025,1438.554,2261.643,1827.677,1936.5789,1492.4586,1584.806
"FBgn0028550",442.240217142,425.234,415.480253339,888.09,730.055,774.78903,408.6214,626.6316755
"FBgn0028552",733.58,800.172,626.844,864.385,798.205,858.895,612.066,832.671
"FBgn0028554",1536.977,1851.274,1388.204,1408.391,1426.835,1413.647,1487.47,1493.922
"FBgn0028560",2555.31,4018.47,2332.6,4109.77,3024.35,552.067,1509.21,3367.71
"FBgn0028561",631.974,1026.01,561.582,1010.675,662.064,107.0412,369.545,705.093
"FBgn0028562",17.0259,23,20,19,22,15,13,24
"FBgn0028563",1028.31,1081.15,902.633,865.359,1106.61,1007.8,800.424,973.147
"FBgn0028567",3224.78,5217.9,2978.9,5681.09,3736.43,634.017,2143.458,3784.495
"FBgn0028569",284,498.949,275,523.413,270,47.0445,187,331.083
"FBgn0028570",254,411.5087,223,429.7973,280.86501,44,159.967,273.26166
"FBgn0028572",1726.36520001074,2953.474486706,1927.97343798,2380.95598021,1892.151706268,1545.48213,2035.1990258,2077.9290677
"FBgn0028573",1085.83,2169.38,1544.92,4536.31,898.352,688.759,1980.17,654.52
"FBgn0028577",4392.2597,5710.989,4348.4079,4749.3129,5483.2431,4596.7532,4700.9188,4574.497
"FBgn0028579",3073.62,4049.04,2566.8,4007.18,3388.21,1824.42,2045.49,3398.62
"FBgn0028581",54.7637,85.3089,30.2877,86.7967,82.1517,121.613,78.7625,44.1814
"FBgn0028582",5133.9293,6624.9896,4759.2643,6129.6907,6003.1905,4874.0835,4778.9111,6065.5632
"FBgn0028583",15,25,16,21,14,23,13,29
"FBgn0028622",3476.33,4834.61,3218.72,2650.01,4030.48,4459.2626,3748.5017,4542.23
"FBgn0028644",256.0863,353,259.01014,384.2013,320.2240183498,229,272.0165,216.0874
"FBgn0028645",173,279,186.0001,266.5529,244,140,201.9999,133.0811
"FBgn0028646",689.35500918643,558,464.3823,498.2963057075,613.2138,732.9994480357,435.09683,837.41597352318
"FBgn0028647",614.168,772.876,521.578,565.136,656.052,617.052,482.52,595.035
"FBgn0028648",301.097,518.8,363.378,438.955,340.343,328.751,322.466,317
"FBgn0028658",216.466,257.945,239.742,211.985,208.867,224.731,183.236,227.558
"FBgn0028662",2749.31,2892.1593,2313.7528,2956.9447,2973.3305,3512.0067,2289.8534,3145.2398
"FBgn0028663",2110.9366,1941.7904,1799.7096,2122.4186,1828.3875,2415.9589,1810.6291,2004.3843
"FBgn0028664",286,303,235,336.847,356.863,431.495,207,552.654
"FBgn0028665",2841.54,2826.85,2543.19,3114.14,3069.15,3872.6,2499.22,3192.73
"FBgn0028667",116,183.1002,91.9806,150.9998,106,39,47,144.3291
"FBgn0028668",123,174,92.0652,170.295,111,30.0007,63.0403,172.68
"FBgn0028669",1223.3,1878.96,1041.2,1866.58,1409.07,298,669.275,1511.99
"FBgn0028670",4396.252,4135.698,3289.406,4418.781,4896.293,8845.32,3951.653,4376.264
"FBgn0028671",3421.3844816,3752.422721,3125.4994915,3394.943084,3845.183,4861.800098,3292.130424,4750.826099
"FBgn0028675",391.002,315,226.092,304.022,545.352,570.525,303.021,612.001
"FBgn0028683",287.349,337.318,297.998,301.265,309.499,313.39,323.043,258.708
"FBgn0028684",3735.61,4131.45,3123.72,3750.44,3927.03,4705.51,3225.33,5694.59
"FBgn0028685",3591.99,3576.43,2835.06,3252.12,3626.17,4653,3361.97,5019.9
"FBgn0028686",3798.723,3953.034,3263.814,3396.297,3956.387,5087.823,3620.144,5762.346
"FBgn0028687",3972.11,4246.42,3339.47,3987.02,4395.88,4967.2,3341.5,6098.9
"FBgn0028688",3108.47,3529.59,2656.34,3204,3314.19,3431.44,2716.59,4189.74
"FBgn0028689",5858.6535,6383.9588,4993.8186,6128.67,6247.17,7396.158,4832.792,8922.9495
"FBgn0028690",4743.21,5115.68,4067.66,4652.69,5179.94,5827.79,4245.82,6957.7
"FBgn0028691",3832.14,4010.563,3041.42,3935.487,3805.289,4285.422,3214.882,4965.997
"FBgn0028692",7661.19,8653.26,6796.4,7497.5,8367.19,8774.2,6767.19,10695.25
"FBgn0028693",1815.4,2070.23,1550.95,1782.47,2057.22,2510.39,1696.29,2747.27
"FBgn0028694",3184.57,3486.62,2608.28,3214.82,3393.32,4169.36,2929.47,4626.9
"FBgn0028695",6917.07,7224.64,6101.59,6293.4,7248.92,8816.81,6269.03,10428.8
"FBgn0028697",27283.85025,29936.21221,24978.1119,28344.5981,28158.27,33480.1361,25516.00799,27417.2121
"FBgn0028699",237.02366,1173.5784,690.6974,1102.8768,126.0698,292.21,542.0397,272.0121
"FBgn0028700",398.02473,383.99841,337.0778,279.253,285.65819,348.51541,284.86755,313.0096
"FBgn0028703",1479.6486,1808.2077,1440.9256,1799.119,1709.682,1906.3353,1572.0756,2036.025109746
"FBgn0028704",419.0008,1558.3396,1143.8555,3561.28,599.1748,618.054300688154,1069.3029,563.29521
"FBgn0028707",62,76.1942000380327,53.0818,65.2118,74.7856,53.9999768811,48,60.3904
"FBgn0028708",554.4927,687.6035,515.1848,575.89634,743.4529,756.9031,714.1646,516.1113
"FBgn0028717",1625.96,1913.72827727,1484.735,1611.1502,1729.21430061703,1508.750069863,1536.58322096,1428.75468
"FBgn0028734",6658.3994243855,9259.25535843,7073.7600234143,7517.6813,6693.08570013496,5393.92099215,6373.5554,7236.26520111296
"FBgn0028737",7995.784,10327.057,7750.19,9134.547,9005.653,10829.023,8757.415,10415.363
"FBgn0028738",145,146.009,126,188.1,106,183.621,130,170
"FBgn0028740",21,35,15,25,15,14,13,18
"FBgn0028741",1316.971,1853.861,1283.404,1741.221,1652.253,1171.128,1196.976,1604.499
"FBgn0028743",1112.254,1670.944,1168.985,1670.454,1437.297,1023.96,1074.612,1284.038
"FBgn0028744",840.588,909.783,756.69,653.185,901.976,944.558,731.139,950.027
"FBgn0028746",395.0001,532.6637,357.0257,471.1893,437.9599,293.6028,307.4186,501.2669
"FBgn0028789",222.1757,344.019,171.0053,289.0072,225.0004,117,145,270
"FBgn0028833",894.93,994.706,807.848,1043.24,919.62,1026.18,916.114,956.256
"FBgn0028836",1462.79,1890.93,1458.36,1635.29,1742.49,1682.69,1460.81,1795.21
"FBgn0028837",1017.82,1223.96,966.241,1008.36,1096.41,1022.33,893.306,1018.48
"FBgn0028838",497.526,704.026,450.005,846.167,543.497,78,328,519.055
"FBgn0028841",0,1,1,0,4,3,1,1
"FBgn0028844",306.178,464.411,287.048,473.362,352.032,66,190,339.156
"FBgn0028847",1473.328,2501.301,1417.561,2601.216,1698.831,305.648,976.6281,1671.643
"FBgn0028848",2228.14,3861.11,2191.5274,4445.5532,2569.13,379.394,1436.79,2760.84
"FBgn0028850",576.1,1067.48,561.49,1055.63,741.021,91.2571,387,678.147
"FBgn0028852",255.54,433.453,242,414.709,253,73,137,343.005
"FBgn0028853",818.879,697.723,266.062,809.346,589.029,509.029,751.727,274.023
"FBgn0028855",126.00003,45.07169,24,82.99995,167.19135,138.0765,31.99998,113.3195
"FBgn0028856",650.696333,878.999,563.706693,938.7837,628.5369,149.032843,343.4185,866.049766
"FBgn0028857",1129.65,1618.9,953,1789.04,1231.48,236.127,706.015,1264.73
"FBgn0028858",321,467.9592,279.0004,516.9997,335.3364,90.00003,199.00005,394.9999
"FBgn0028862",216.9998,389.0552,294.1135,397.0735,282.075,244.0687,254.0342,258.14321
"FBgn0028863",634.43434,952.1756,749.2864,980.188,793.1404,601.23412,755.1686,552.9992
"FBgn0028864",1364.05,728.381,567.854,631.898,1342.39,1682.36,784.009,1772.37
"FBgn0028866",3,5,3,4,2,2,3,1
"FBgn0028868",973.03,1613,900.826,1691.17,1099.06,195.528,560.392,1072.53
"FBgn0028870",4549.12,8072.65,4658.03,9113.3,5197.52,865,2943.01,5194.63
"FBgn0028871",52,3,7,2,101,119,3,129.059
"FBgn0028872",280.3367,310.2526,304.2592,259.897,254.08866,217.1578,258.2424,209.9694
"FBgn0028875",757.662,1923.173,1384.1259,1835.3922,1324.192,971.2962,1565.7646,904.5752
"FBgn0028878",58,53,25,23.0107,44,71,20,77
"FBgn0028879",383.0026071199,636.381865,435.00081,540.1224063,484.07197,406.053,437.0656,378.166166
"FBgn0028880",632,1007.675,579.1126,1087.616,731.117,136.0005,399.3347,782.388
"FBgn0028884",196,302.003,172,295.406,220,64,125.472,246
"FBgn0028886",444.0001,188.9998,324.2282,378.1358,163.080600015327,241.0003,274.000300014938,189.0218
"FBgn0028887",326,534,302.136,520.219,368.195,104,166,454.006
"FBgn0028888",468.005,731.9334,514.267,757.073,568.254,357.9996,514.1367,304
"FBgn0028892",961.344,1637.219,1037.433,1913.11,1225.444,204.9995,658.019,1133.761
"FBgn0028893",967.436,1453.39,832.761,1577.33,1012,194.027,585.317,1119.03
"FBgn0028894",921.335,783.386,764.683,796.018,839.791,938.478,901.343,1033.28
"FBgn0028895",157.8172,203.142,148.5122,181.2578,207.9759,152.4649683,110.218465,190.364
"FBgn0028896",356.403,557.606,285.049,576.211,372.291,107.369,206,414.852
"FBgn0028897",329.398,401,198.047,336.738,299.104,128.374,183,274.607
"FBgn0028899",1055.57,1781.18,1014.71,2013.11,1310.02,198.006,720.098,1250.24
"FBgn0028900",118,200.512,118,183.038,179.009,56,52,166
"FBgn0028901",1483,2421.66,1398.79,2466.48,2122.74,300,914.22,2099.37
"FBgn0028902",1931.005,3089.24,1712.912,3359.638,2425.735,326.0003,1211.035,1965.844
"FBgn0028903",1273.073,2116.907,1198.41,2207.79,1797.398,242.8994,835.677,1455.027
"FBgn0028913",282.4984,484.3617,246.9999,479.6442,321.9996,70,173,334.0689
"FBgn0028916",1087.0417,1349.832,974.5336,1204.329,1200.188,922.349,1608.299,1025.021
"FBgn0028919",301.323,325.757,232.121,312.5871,280.275,219.6179,242.3435,260.602
"FBgn0028920",11,5.000000109692,36.99995,5,11,36.00662,22.00005,149.0003
"FBgn0028926",302.35,495.096,293.84,394.629,389.57,295.751,284.135,399.548
"FBgn0028931",230,286.0827,214.9997,188.2965,219.1329,160.0001,154.0002,246
"FBgn0028932",318.111,318.5163,303.8769,235.7571,260.5813,295.1737,201.5436,303.9427
"FBgn0028935",700,1150.44,635,1250.84,973.109,104,434.027,781.226
"FBgn0028936",36,162.2086427,132,337.4445,38.00000216849,55.00005,109.0024,93.000000566862
"FBgn0028938",613.626,198905.8,58922,15410.75,4276.37,2735.55,90491.4,26304.7
"FBgn0028939",3247.228,3278.216,2600.558,2906.54,3658.175,2722.959,3662.249,2423.066
"FBgn0028940",29,29,17,23.0002,23,17,17,14
"FBgn0028941",406.235,691.353,355.446,722.872,486.527,94.205,263.189,455.132
"FBgn0028942",310,446.875,231.3,465.286,312.419,70,192.364,353.465
"FBgn0028943",311.197,517.942,275,542.08,299.598,62,183.874,361
"FBgn0028944",0,0,0,0,0,0,0,1
"FBgn0028945",2,0,1,0,0,4,0,2
"FBgn0028946",3.00126,1,3,1,0,1,1,4
"FBgn0028947",2,2,2,0,0,4,0,11
"FBgn0028948",0,0,1,0,0,0,0,3
"FBgn0028949",2,9,3,1,3,3,5,1
"FBgn0028950",15,11,12,20,7,3,2,16
"FBgn0028952",254.003,331.3755,208.0005,308.21465,292.00008,136,224.99964,268.0004
"FBgn0028953",4177.016,4716.207,3739.552,3708.0594,4938.958,6247.752,4413.18,5913.651
"FBgn0028955",1475.838,1761.821,1519.151,1414.248,1226.375,1397.882,1563.695,1318.045
"FBgn0028956",337.1564,401.2926,383.2376,385.2883,451.7159,731.7289,343.3897,903.2742
"FBgn0028962",573.035,1015.19,641.183,700.388,605.008,633.985,601.456,522.489
"FBgn0028963",0,1,0,0,0,0,1,0
"FBgn0028965",979.366,1229.03,892,972.829,1065.28,840.963,849.787,968.339
"FBgn0028968",2848.164,3539.943,2762.565,2956.605,3500.36,4167.287,2883.95,3987.988
"FBgn0028969",2677.13,3197.48,2672.534,2808.035,3037.16,3489.68,2869.803,3550.46
"FBgn0028970",464.117,563.169,437.517,542.655,492,738.824,429.355,603.2
"FBgn0028974",688.461,822.624,553.657,623.339,678.06,552.443,544.426,611.797
"FBgn0028978",1626.99,1438.6,1198.89,1297.37,990.864,1202.72,1404.81,910.245
"FBgn0028979",1194.426,1764.092,1020.925,1421.243,1467.614,722.802,865.55,1209.497
"FBgn0028980",1393.454,1764.333,1155.141,1675.122,1449.485,907.953,1266.122,1264.884
"FBgn0028982",4190.18,4565.403,3462.41,3393.716,4226.827,4064.17,3918.51,3901.04
"FBgn0028983",1444.19,463.01,554.568,641.085,1437.09,1488.37,739.203,1471.87
"FBgn0028984",6760.239,5387.572,4923.483,3565.678,10289.46,10578.296,5886.07,6596.934
"FBgn0028986",0,1.000000075,0,0.999999659,0,0,0,0
"FBgn0028987",2,9,6,7,10,1,3,11
"FBgn0028988",1498.08,1063.38,911.087,1283.72,1356.05,1131.44,975.406,954.606
"FBgn0028990",8841.577,6301.245,5780.58,4794.324,7410.549,10346.297,6006.229,6359.372
"FBgn0028991",754.397,851.786,558.722,548.791,691.391,695.999,645.05,745.904
"FBgn0028992",1190.82,1415.82,1090.63,1261.1,1389.31,1433.4,1052.46,1598.3
"FBgn0028993",486.2012,469.18719,396.00009,329.0139,505.0053,529.003,346.1945,415.019
"FBgn0028996",1377.528,1728.709,1307.452,1459.289,1602.723,1184.048,1254.97,1247.25
"FBgn0028997",965.907,1460.18,900.841,1437.66,1131.32,392.92,645,1109.5
"FBgn0028999",504.247,257,218.058,128.006,513.005,692.523,237.133,897.687
"FBgn0029002",7991.621,11213.1978,8816.9687,7834.5128,11519.908,9112.313,8899.1659,8851.2393
"FBgn0029003",3032.47,3371.6,2224.15,2161.49,2544.4,2286.95,2771.91,1809.57
"FBgn0029006",3977.37,5397.79,3937.41,4574.23,4809.88,3235.74,3843.31,4102.174
"FBgn0029067",960.136,1107.763,991.059,933.177,1079.6483,986.8247,991.007,984.378
"FBgn0029079",653.264,777.273,532.511,565.815,611.495,476.978,588.048,572.06
"FBgn0029082",4580.187,5268.89000003265,4189.803,4195.367,4605.28,3642.37500001401,4706.75,3128.984
"FBgn0029084",657.046,1053.35,605.75,1151.23,784.789,185.185,454.724,870.033
"FBgn0029088",1980.7,2107.74,1628.6,1671.78,1816.68,1748.05,1734.04,1592.66
"FBgn0029091",1504.946,972.265,1246.688,992.4373,762.262000192531,2406.743,1084.367,815.3342
"FBgn0029092",6984.3321,6203.5339,6289.6307,5794.8112,6023.5218,10641.6818,7162.7269,6346.4103
"FBgn0029093",25130.1,25826,25096.6,23871,23962.5,28814,26850.4,24784.6
"FBgn0029094",638.129,611.4578,554,476.0258,484.0855,557.0004,589.016,524.042
"FBgn0029095",1698.625,2854.0858,2012.9569,2557.3256,2668.8077,2393.1398,2327.9819,2170.9409
"FBgn0029105",241,337.474,237.738,288.75,248.77,217.138,235.994,208.256
"FBgn0029113",3894.45,3795.23,3091.81,3083.73,3266.37,4075.39,3596.51,2696.49
"FBgn0029114",3527.48,4418.24,2900.32,2481.39,4723.7,3605.49,3310.92,3806.17
"FBgn0029117",262.29,509.115,376.736,531.196,306.914,267.537,317.664,317.323
"FBgn0029118",2135.591,2915.6495,2286.874,2028.0555,2419.6839,2197.5902,2108.05,2283.0521
"FBgn0029121",340,353.728,281,388.589,354.49,353.852,291,364.164
"FBgn0029123",954.348,1031.166,664.494,595.91,1069.08,960.212,721.068,1309.64
"FBgn0029128",9861.2743,19454.74114841,14464.08368755,12999.1227,38036.4464,21277.38918966,13409.788,16015.7783
"FBgn0029131",624,781.561,639.121,617.484,699.692,753.034,605,723.658
"FBgn0029133",2060.6317,2480.7162,1859.7149,2274.5563,2054.3608,1957.8888,1958.5141,1971.485
"FBgn0029134",3121.835,3199.419,2654.413,3291.413,3073.012,3796.303,2761.714,3945.556
"FBgn0029137",51,143,97.0968,206.184,94,49,93,73.0007
"FBgn0029147",1073.95197,1080.44321,1035.0042,1276.5792,1050.0411,1095.8424,918.415,1111.0478
"FBgn0029148",474.0851,648.4003,482.3127,424.8198,532.022,505.0003,465.9999,443.0045
"FBgn0029152",2377.96,2829.751,2202.5239,2695.83,2368.2019,1945.2929,2085.2,2272.161
"FBgn0029153",1742.927,3077.7276,1769.9643,3295.745,2188.708,294.586,1115.9524,2176.941
"FBgn0029154",803.176,1328.23,797.061,1411.87,944.977,133.461,480.543,968
"FBgn0029155",1360.705,2163.003,1476.372,3300.849,1566.669,1104.5057,1084.6803,1773.996
"FBgn0029157",4391.458,6295.0710774745,3990.17200029785,5632.6852,4914.75000088154,2605.813,3670.95,4890.6440104216
"FBgn0029158",583.45,893.581,576.685,937.799,631.935,373.183,462.862,693.36
"FBgn0029161",1663.9862,3051.47004,1813.339,2920.31952,1949.33949,1315.25596,1638.71845,2034.2446
"FBgn0029167",392,245.99951,211.999855,659.02539,401.0067382,187.0001,519.0002735,198.000222
"FBgn0029170",12401.7,92343.9,53766.1,59290.2,46529.3,30551.3,41241.7,35590.4
"FBgn0029172",3,0,0,1,0,2,0,0
"FBgn0029173",355,369.0003,263.3421,234.9997,357.265,364.003,298.2896,249.0004
"FBgn0029174",2844.842,3546.847,2834.064,3102.08,3096.371,3645.64,3022.842,2983.213
"FBgn0029175",715.309,1010.7,760.379,1003.54,1011.79,835.491,760,801.454
"FBgn0029176",21994.41,29015.376,21914.418,25784.421,26484.49,28848.476,23742.647,27040.61
"FBgn0029501",1844.36,2907.72,1511.65,3044.41,2135.69,371.327,1129.15,2350.42
"FBgn0029502",286.205,492.953,368.024,385.709,379.625,326.519,381.492,328.725
"FBgn0029503",553,690.435,543.217,600,512.03,898.059,580,555.142
"FBgn0029504",1071.195,1777.058,1339.026,1523.373,1598.896,1460.757,1595.518,1364.392
"FBgn0029506",10237.293,10298.097,8308.782,9548.813,10053.748,12096.593,9065.517,10662.491
"FBgn0029507",2047.357,1339.0327,1528.3452,1389.7304,1501.0546,2338.593,1791.1117,1682.5074
"FBgn0029508",1835.1337,2704.92939,2265.9096,3810.6146,2725.6839,2459.7595,1655.692141,2775.4535
"FBgn0029512",1490.09,1532.89,1229.19,1261.64,1227.83,1364.11,1382.85,1076.91
"FBgn0029514",248.4582,351.4786,268.0004,263.9995,255.1722,226.0022,210.0201,247.0309
"FBgn0029518",92.01951,7619.897,3910.416,677.8975,150.3674,116.1448,4813.687,2098.1915
"FBgn0029521",6.02372,16.0353,12.1225,10,8,6.02521,15.1348,6.00452
"FBgn0029522",229.8567,293.039,186.1062,210.2454,194.7739,149.8729,152.8509,196.7449
"FBgn0029524",240.49098,233.65718,205.9982,243.7869,202.6562,174.289024,149.57683,224.91176
"FBgn0029525",822.001,1087.1,764.664,771.762,898.831,796.272,667.081,768.371
"FBgn0029529",200,333.613,212.007,351,177,191,191,200.063
"FBgn0029531",39.0331,68.4717,49.7849,54.6459,127.357,36.6966,46.3786,27.7158
"FBgn0029532",48,35,16,18,17,17,21,20.0047
"FBgn0029535",3,1,0,1,3,2,2,2
"FBgn0029539",255.625,494.695,245.0002,533.514,340.532,48.0812,192,424
"FBgn0029552",123.021,214.03,124.125,229.586,129,32.6637,63,172
"FBgn0029568",5,15,17,0,2,1,3,1
"FBgn0029573",1321.47,20378.7,11977.5,386.627,294.529,585.966,12122.8,10412.9
"FBgn0029580",33.2264,54.3513,33.3933,49.8954,63.4854,39.3877,30.3087,40.8092
"FBgn0029587",93.4096,106.0525,82.0742,263.7113,164.7897,97.077,88.2775,73.6565
"FBgn0029588",26.1043,33.8385,20.4739,22.5805,26.8256,27.0259,31.8991,28.5962
"FBgn0029589",48.00005,98,42.00728,73.0042,56.00004,24.00002,24,96.00002
"FBgn0029590",23,80,21,42,33,23,23,52
"FBgn0029594",449.7562,680.885,496.4762,664.9233,500.9603,461.1459,451.0893,446.8333
"FBgn0029596",237.859,290.479,194.405,324.514,227.904,157.121,155.208,246.358
"FBgn0029603",343.319,525.663,286,503.133,389,121.0853,237.4129,397
"FBgn0029606",11,2140.5,1831.76,18,28.0089,41.0168,1050.16,1500.8
"FBgn0029608",130.9998,231.9996,208.1971,246.0068,142,84.3765,168.9999,127
"FBgn0029629",3235.74,3739.49,3080.9,3295.6,3566.01,4178.82,3365.15,3456.92
"FBgn0029639",2,3,1,2,2,0,1,0
"FBgn0029642",49,72,27,74,51.1465,6,28,45
"FBgn0029643",12,16,4,7,12,2,2,5
"FBgn0029644",0,2,4,0,1,3,3,0
"FBgn0029645",0,4,1,2,3,0,2,1
"FBgn0029646",0,0,0,0,1,0,2,1
"FBgn0029647",2,5,2,5,5,0,1,1
"FBgn0029648",261.0558,383,340.272,391.175,340,342.772,377.323,295
"FBgn0029649",55,1,0,0,33,36,25.00004,4
