"","X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"11464","FBgn0261386",-1.138880813,-1.333950874,-3.970645115,0.004201376,0.004707858,-2.414414205
"11466","FBgn0034485",-3.225590293,-2.312293827,-3.969596335,0.004207507,0.004713905,-2.243452148
"11467","FBgn0039319",-1.059182943,-1.457533631,-3.966286013,0.004226922,0.004735243,-2.427085532
"11468","FBgn0051041",-2.179872426,-2.457208313,-3.964021456,0.004240258,0.004749769,-2.335332162
"11469","FBgn0034202",1.710648148,1.992457563,3.963922683,0.004240841,0.004750008,-2.742398653
"11471","FBgn0046697",1.781743997,2.058491075,3.956986853,0.004281976,0.004795246,-2.763589481
"11473","FBgn0085491",-3.201766969,-1.759974025,-3.949644014,0.004325993,0.004843694,-2.273950383
"11474","FBgn0039718",-1.036044437,-1.119636937,-3.948395757,0.004333524,0.004851704,-2.455297993
"11476","FBgn0036594",3.25690342,1.66016076,3.941710247,0.0043741,0.004896278,-3.064889644
"11477","FBgn0261587",2.073176217,2.473771261,3.934394884,0.004418966,0.00494607,-2.843029221
"11478","FBgn0030339",-2.922000107,-2.56703534,-3.933857243,0.004422283,0.004949351,-2.319629495
"11479","FBgn0051200",-1.051214676,-0.928539495,-3.933579782,0.004423996,0.004950837,-2.476785814
"11481","FBgn0029726",1.609523087,1.909027713,3.915765396,0.004535473,0.005074705,-2.798879702
"11482","FBgn0036219",-1.242890023,-1.173784503,-3.90888077,0.00457936,0.005123364,-2.496491561
"11483","FBgn0034480",-1.874171659,-2.050303265,-3.906730888,0.004593158,0.005138353,-2.444470694
"11485","FBgn0035845",1.800736157,2.972353946,3.899219388,0.004641719,0.005191774,-2.850991811
"11487","FBgn0263235",-1.01213269,-1.101023999,-3.893454843,0.00467936,0.005232964,-2.539728414
"11488","FBgn0033640",-1.359503885,-1.727252392,-3.886390357,0.004725936,0.005284591,-2.519401586
"11490","FBgn0032533",1.515713621,1.783639172,3.884296438,0.004739837,0.005299212,-2.832446502
"11491","FBgn0087040",-1.037800497,-0.813000846,-3.882660824,0.004750726,0.005310923,-2.553307778
"11492","FBgn0035611",2.173505212,2.62943152,3.881862831,0.004756048,0.005316411,-2.940068757
"11496","FBgn0037324",-1.82273269,-1.167757667,-3.867594547,0.004852298,0.005422114,-2.507138274
"11497","FBgn0032824",-1.409076402,-2.313048238,-3.866649763,0.004858744,0.005428845,-2.543017297
"11498","FBgn0039086",1.052734587,0.830127237,3.865964702,0.004863425,0.005433602,-2.794530946
"11499","FBgn0263270",-1.7799374,-1.964086412,-3.862639093,0.004886213,0.005458587,-2.517555473
"11500","FBgn0031715",1.169796751,1.172398761,3.856090357,0.004931424,0.005508615,-2.826354623
"11501","FBgn0085302",-1.023293288,-1.14466619,-3.855558943,0.004935112,0.005512256,-2.594171394
"11503","FBgn0250836",-1.177417994,-1.34344265,-3.846438387,0.004998878,0.005582508,-2.594385304
"11504","FBgn0051207",-2.62693334,-2.480218709,-3.841626928,0.005032873,0.005619983,-2.477456968
"11505","FBgn0262146",1.312869489,0.763427634,3.841354256,0.005034807,0.005621654,-2.86941695
"11506","FBgn0051230",1.880302938,2.302520291,3.840661625,0.005039723,0.005626654,-2.953012707
"11507","FBgn0039486",1.35116206,1.027446602,3.837729514,0.005060591,0.005649462,-2.877327257
"11508","FBgn0036817",-2.549350441,-2.871257801,-3.836019866,0.005072802,0.005662601,-2.494761901
"11509","FBgn0040843",3.925193541,4.364266035,3.835294175,0.005077995,0.005667905,-3.350135731
"11510","FBgn0026398",-1.327177107,-1.018100343,-3.830615266,0.005111611,0.005704931,-2.605271938
"11512","FBgn0263206",-1.989236351,-1.594419252,-3.828687392,0.005125531,0.005719473,-2.550516607
"11514","FBgn0046253",2.972759671,1.929135397,3.82551531,0.005148524,0.005744132,-3.164801901
"11515","FBgn0039367",2.089469569,2.491126033,3.821566939,0.005177298,0.005775734,-3.014987584
"11516","FBgn0039444",1.771204112,2.24452772,3.818950871,0.005196458,0.005796605,-2.968320678
"11517","FBgn0038665",1.014673267,1.741406985,3.817371536,0.005208062,0.005809044,-2.864290079
"11518","FBgn0035315",1.281592554,1.425679457,3.814976282,0.005225713,0.005828227,-2.903250767
"11520","FBgn0035050",1.189692905,1.485055577,3.804502624,0.005303654,0.005914127,-2.907326374
"11521","FBgn0264738",1.403463351,1.592918955,3.803231059,0.005313201,0.005924258,-2.938323835
"11522","FBgn0266977",1.638758863,1.936591975,3.799362,0.005342363,0.005956257,-2.978399096
"11523","FBgn0037516",1.996536254,2.301977668,3.794452915,0.005379611,0.005997265,-3.040459158
"11526","FBgn0029701",1.583787759,1.877111971,3.785277949,0.005449976,0.006074127,-2.990042181
"11527","FBgn0051097",1.085951791,0.648580524,3.77604778,0.005521758,0.006153597,-2.934723175
"11530","FBgn0085256",1.601973124,1.691812293,3.771823044,0.005554951,0.006188499,-3.016250695
"11531","FBgn0038238",-1.697039528,-2.044294261,-3.771816307,0.005555004,0.006188499,-2.661306422
"11532","FBgn0033207",1.706219791,-0.083669251,3.771355205,0.00555864,0.006192013,-3.025717085
"11534","FBgn0085474",1.210352799,1.577653316,3.760029285,0.005648748,0.006291296,-2.977040673
"11535","FBgn0259183",1.644444765,2.03675443,3.747267907,0.005752152,0.006405908,-3.057067588
"11536","FBgn0026395",-1.604399186,-1.314054611,-3.746943611,0.005754806,0.006408308,-2.705146008
"11538","FBgn0031197",-1.680653451,-1.153579656,-3.745955119,0.005762904,0.006416213,-2.699220549
"11539","FBgn0053773",1.149908796,1.277071005,3.74518127,0.005769252,0.006422724,-2.990378225
"11540","FBgn0031288",1.1433159,1.286650204,3.745062759,0.005770225,0.00642325,-2.98962723
"11541","FBgn0039315",-1.673763023,-2.414340914,-3.744416886,0.005775529,0.006428598,-2.703395599
"11542","FBgn0036112",3.567054139,0.704938255,3.741929797,0.005796006,0.006450831,-3.428726801
"11544","FBgn0265001",-1.25017154,-1.335232599,-3.726483985,0.005924922,0.006593169,-2.7673037
"11545","FBgn0040871",1.747164086,2.120471447,3.724750588,0.00593958,0.006608908,-3.106676021
"11546","FBgn0039810",2.17848208,2.681444757,3.723610058,0.005949245,0.006619089,-3.177467925
"11548","FBgn0031465",1.266981788,1.308114602,3.711647106,0.006051646,0.006731854,-3.056981197
"11549","FBgn0039832",1.000362426,0.936883898,3.711030753,0.006056973,0.006737196,-3.021926862
"11550","FBgn0025827",-1.229927082,-0.985684972,-3.709027231,0.006074323,0.006755909,-2.796512897
"11551","FBgn0031756",1.846217994,1.721238705,3.708295815,0.00608067,0.006762383,-3.143325289
"11552","FBgn0263777",-2.386698196,-2.105173478,-3.705101359,0.006108473,0.006792715,-2.70156859
"11553","FBgn0035670",2.19647419,2.865761885,3.704770093,0.006111364,0.006795342,-3.21139672
"11554","FBgn0085318",1.330279741,1.640976508,3.700248528,0.006150971,0.00683879,-3.083271653
"11555","FBgn0051848",1.300350494,1.446117356,3.697568261,0.006174578,0.006864443,-3.082210532
"11556","FBgn0039200",2.274943892,1.624128208,3.69604794,0.006188012,0.006878187,-3.233102757
"11557","FBgn0038431",-1.538750768,-1.524122708,-3.696074214,0.00618778,0.006878187,-2.788789024
"11558","FBgn0033970",-1.694005495,-1.973992494,-3.69475293,0.00619948,0.006890337,-2.774679056
"11560","FBgn0266492",2.429318473,2.566681625,3.690456264,0.00623769,0.006931606,-3.271214675
"11561","FBgn0052670",1.168771718,1.399645637,3.688191364,0.006257933,0.0069535,-3.079400474
"11562","FBgn0026175",1.306974495,1.462934251,3.687448917,0.006264584,0.006960288,-3.099035686
"11563","FBgn0032965",1.73958534,2.066641939,3.681148577,0.006321329,0.007022727,-3.171740239
"11564","FBgn0038150",-1.449455312,-2.244497367,-3.680451412,0.006327642,0.007029133,-2.818613303
"11565","FBgn0036380",1.787781581,2.746054274,3.678515716,0.006345205,0.007048033,-3.181255055
"11566","FBgn0020880",-2.281090857,-1.195323294,-3.670564052,0.0064179,0.007128164,-2.761372331
