"","X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"184","FBgn0021872",8.613138516,8.575004886,132.3463594,1.57e-14,1.08e-12,22.76828425
"189","FBgn0013272",9.938309311,9.779031213,132.1127579,1.59e-14,1.08e-12,22.79529718
"194","FBgn0014020",9.111411835,9.003093342,131.3291414,1.67e-14,1.1e-12,22.75601507
"197","FBgn0015778",9.020324178,9.067588871,130.4251102,1.76e-14,1.14e-12,22.72246465
"200","FBgn0259176",8.796428149,8.688733683,130.1175154,1.8e-14,1.15e-12,22.70341191
"202","FBgn0032208",8.741343391,8.734747179,129.7322311,1.84e-14,1.17e-12,22.68710139
"203","FBgn0000319",9.728799291,9.571409079,129.1660008,1.9e-14,1.19e-12,22.69060266
"204","FBgn0261800",8.915358999,9.004154369,129.0658519,1.92e-14,1.19e-12,22.67171218
"205","FBgn0261608",8.582495443,8.567307502,129.0390436,1.92e-14,1.19e-12,22.65310529
"209","FBgn0013981",8.665720689,8.639820294,128.8809134,1.94e-14,1.19e-12,22.6530037
"214","FBgn0035753",9.041344499,9.030562186,128.2189252,2.02e-14,1.21e-12,22.64571509
"217","FBgn0015221",9.313408767,9.302093376,127.6902296,2.09e-14,1.23e-12,22.63250025
"218","FBgn0002593",9.293667741,9.2646268,127.6623868,2.09e-14,1.23e-12,22.63121796
"223","FBgn0000116",10.71790524,11.02617382,127.0823089,2.17e-14,1.24e-12,22.63316084
"224","FBgn0031313",9.552519432,9.293809929,127.137719,2.16e-14,1.24e-12,22.6157234
"225","FBgn0015521",8.508266449,8.460628418,127.1534616,2.16e-14,1.24e-12,22.5805067
"228","FBgn0035720",9.443899198,9.505661207,126.4402945,2.25e-14,1.27e-12,22.58887135
"230","FBgn0015222",9.673732847,9.611494209,126.1122448,2.3e-14,1.28e-12,22.57966632
"231","FBgn0260442",9.025908571,8.898472833,126.0835907,2.31e-14,1.28e-12,22.56789034
"247","FBgn0000416",10.76173419,10.5987935,122.8606294,2.83e-14,1.46e-12,22.47433691
"250","FBgn0004868",8.907919947,8.803087635,122.2254025,2.95e-14,1.47e-12,22.41775975
"251","FBgn0028371",8.586806776,8.581053931,122.6026336,2.88e-14,1.47e-12,22.41662448
"259","FBgn0001105",8.81982798,8.8055491,122.0147214,2.99e-14,1.48e-12,22.40613555
"262","FBgn0053208",10.75037899,10.42507662,121.4855665,3.09e-14,1.48e-12,22.41982613
"263","FBgn0029770",10.7128819,5.942989902,121.7518329,3.04e-14,1.48e-12,22.42975877
"275","FBgn0000308",10.06839915,9.916320458,121.0554069,3.18e-14,1.49e-12,22.39064371
"276","FBgn0004838",9.733070287,9.662160155,120.6423765,3.27e-14,1.49e-12,22.36941433
"277","FBgn0030520",8.582274493,8.600144208,120.4832562,3.3e-14,1.49e-12,22.33291829
"291","FBgn0005585",10.23306682,10.135394,119.8181314,3.45e-14,1.52e-12,22.34324701
"300","FBgn0004177",8.800536018,8.804890123,119.1746286,3.6e-14,1.54e-12,22.29158792
"319","FBgn0004828",9.760237984,9.709945947,117.2376601,4.1e-14,1.63e-12,22.22888454
"326","FBgn0034398",9.223150401,9.106402699,116.7425831,4.24e-14,1.67e-12,22.20118264
"330","FBgn0032949",8.653967807,8.580033442,116.5323732,4.3e-14,1.67e-12,22.17391751
"331","FBgn0020279",9.152070845,9.12116988,116.3350557,4.36e-14,1.68e-12,22.18251689
"332","FBgn0011760",8.804446115,8.867074692,116.0547188,4.44e-14,1.68e-12,22.16060794
"333","FBgn0003391",8.576437592,8.518542712,116.0815246,4.43e-14,1.68e-12,22.15009645
"343","FBgn0002921",9.696971963,9.890296148,115.1546843,4.73e-14,1.75e-12,22.13813738
"344","FBgn0265274",8.758579228,8.732715879,115.2383045,4.7e-14,1.75e-12,22.12325843
"345","FBgn0010415",8.698533271,8.644219533,115.2771338,4.69e-14,1.75e-12,22.12199525
"367","FBgn0034258",8.799512777,8.731094372,113.7704778,5.2e-14,1.8e-12,22.06015398
"373","FBgn0250788",9.53164405,9.626293024,113.5273066,5.29e-14,1.82e-12,22.0638942
"374","FBgn0051992",8.782887392,8.777528212,113.4523417,5.32e-14,1.83e-12,22.04526958
"381","FBgn0087035",8.779748652,8.743752875,112.956803,5.5e-14,1.85e-12,22.02277065
"386","FBgn0020238",10.14481813,10.11292147,112.701327,5.6e-14,1.85e-12,22.03379257
"393","FBgn0002526",9.472170093,9.560734193,112.3295237,5.75e-14,1.86e-12,22.0087284
